Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, Magenta Rockwool Cover
thermaldynamics:cover:0, Orange Rockwool Cover
thermaldynamics:cover:0, White Rockwool Cover
thermaldynamics:cover:0, Stone Pillar Cover
thermaldynamics:cover:0, Andesite Pillar Cover
thermaldynamics:cover:0, Diorite Pillar Cover
thermaldynamics:cover:0, Granite Pillar Cover
thermaldynamics:cover:0, Slate Pillar Cover
thermaldynamics:cover:0, Iron Chain Cover
thermaldynamics:cover:0, Iron Candle Cover
thermaldynamics:cover:0, Iron Chandelier Ring Cover
thermaldynamics:cover:0, Golden Chain Cover
thermaldynamics:cover:0, Golden Candle Cover
thermaldynamics:cover:0, Golden Chandelier Ring Cover
thermaldynamics:cover:0, Beehive Cover
thermaldynamics:cover:0, Slate Cover
thermaldynamics:cover:0, Slate Roof Cover
thermaldynamics:cover:0, Slate Tile Cover
thermaldynamics:cover:0, Slate Brick Cover
thermaldynamics:cover:0, Chiseled Slate Cover
thermaldynamics:cover:0, Slate Roof Stairs Cover
thermaldynamics:cover:0, Slate Roof Slab Cover
thermaldynamics:cover:0, Slate Brick Stairs Cover
thermaldynamics:cover:0, Slate Brick Slab Cover
thermaldynamics:cover:0, Clay Wall Cover
thermaldynamics:cover:0, Crossed Clay Wall Cover
thermaldynamics:cover:0, Diagonal Clay Wall Cover
thermaldynamics:cover:0, Oak Chair Cover
thermaldynamics:cover:0, Dark Oak Chair Cover
thermaldynamics:cover:0, Birch Chair Cover
thermaldynamics:cover:0, Spruce Chair Cover
thermaldynamics:cover:0, Acacia Chair Cover
thermaldynamics:cover:0, Jungle Chair Cover
thermaldynamics:cover:0, Olive Wood Chair Cover
thermaldynamics:cover:0, Ironwood Chair Cover
thermaldynamics:cover:0, Oak Table Cover
thermaldynamics:cover:0, Dark Oak Table Cover
thermaldynamics:cover:0, Birch Table Cover
thermaldynamics:cover:0, Spruce Table Cover
thermaldynamics:cover:0, Acacia Table Cover
thermaldynamics:cover:0, Jungle Table Cover
thermaldynamics:cover:0, Olive Wood Table Cover
thermaldynamics:cover:0, Ironwood Table Cover
thermaldynamics:cover:0, Iron Lattice Cover
thermaldynamics:cover:0, Iron Lantern Cover
thermaldynamics:cover:0, Golden Lantern Cover
thermaldynamics:cover:0, White Painted Wood Cover
thermaldynamics:cover:0, Orange Painted Wood Cover
thermaldynamics:cover:0, Magenta Painted Wood Cover
thermaldynamics:cover:0, Light Blue Painted Wood Cover
thermaldynamics:cover:0, Yellow Painted Wood Cover
thermaldynamics:cover:0, Lime Painted Wood Cover
thermaldynamics:cover:0, Pink Painted Wood Cover
thermaldynamics:cover:0, Gray Painted Wood Cover
thermaldynamics:cover:0, Light Gray Painted Wood Cover
thermaldynamics:cover:0, Cyan Painted Wood Cover
thermaldynamics:cover:0, Purple Painted Wood Cover
thermaldynamics:cover:0, Blue Painted Wood Cover
thermaldynamics:cover:0, Brown Painted Wood Cover
thermaldynamics:cover:0, Green Painted Wood Cover
thermaldynamics:cover:0, Red Painted Wood Cover
thermaldynamics:cover:0, Black Painted Wood Cover
thermaldynamics:cover:0, Gargoyle Cover
thermaldynamics:cover:0, Fertile Soil Cover
thermaldynamics:cover:0, Olive Wood Planks Cover
thermaldynamics:cover:0, Ironwood Planks Cover
thermaldynamics:cover:0, Olive Wood Cover
thermaldynamics:cover:0, Ironwood Cover
thermaldynamics:cover:0, Olive Leaves Cover
thermaldynamics:cover:0, Ironwood Leaves Cover
thermaldynamics:cover:0, Olive Sapling Cover
thermaldynamics:cover:0, Ironwood Sapling Cover
thermaldynamics:cover:0, Olive Wood Fence Cover
thermaldynamics:cover:0, Ironwood Fence Cover
thermaldynamics:cover:0, Olive Wood Fence Gate Cover
thermaldynamics:cover:0, Ironwood Fence Gate Cover
thermaldynamics:cover:0, Olive Wood Slab Cover
thermaldynamics:cover:0, Ironwood Slab Cover
thermaldynamics:cover:0, Olive Wood Stairs Cover
thermaldynamics:cover:0, Ironwood Stairs Cover
thermaldynamics:cover:0, Alchemic Retort Cover
thermaldynamics:cover:0, Advanced Alchemic Retort Cover
thermaldynamics:cover:0, Wooden Stake Cover
thermaldynamics:cover:0, Wildberry Bush Cover
thermaldynamics:cover:0, Rope Cover
thermaldynamics:cover:0, Grape Seeds Cover
thermaldynamics:cover:0, Apple Seeds Cover
thermaldynamics:cover:0, Apple Sapling Cover
thermaldynamics:cover:0, Apple Leaves Cover
thermaldynamics:cover:0, Aloe Vera Cover
thermaldynamics:cover:0, Blood Orchid Cover
thermaldynamics:cover:0, Chamomile Cover
thermaldynamics:cover:0, Cohosh Cover
thermaldynamics:cover:0, Deathstalk Mushroom Cover
thermaldynamics:cover:0, Horsetail Cover
thermaldynamics:cover:0, Mooncap Mushroom Cover
thermaldynamics:cover:0, Wind Thistle Cover
thermaldynamics:cover:0, Fish Tank Cover
thermaldynamics:cover:0, tile.masonry.name Cover
thermaldynamics:cover:0, Mossy Masonry Cover
thermaldynamics:cover:0, Cracked Masonry Cover
thermaldynamics:cover:0, Copper Ore Cover
thermaldynamics:cover:0, Tin Ore Cover
thermaldynamics:cover:0, Lead Ore Cover
thermaldynamics:cover:0, Thorium Ore Cover
thermaldynamics:cover:0, Uranium Ore Cover
thermaldynamics:cover:0, Boron Ore Cover
thermaldynamics:cover:0, Lithium Ore Cover
thermaldynamics:cover:0, Magnesium Ore Cover
thermaldynamics:cover:0, Copper Block Cover
thermaldynamics:cover:0, Tin Block Cover
thermaldynamics:cover:0, Lead Block Cover
thermaldynamics:cover:0, Thorium Block Cover
thermaldynamics:cover:0, Uranium Block Cover
thermaldynamics:cover:0, Boron Block Cover
thermaldynamics:cover:0, Lithium Block Cover
thermaldynamics:cover:0, Magnesium Block Cover
thermaldynamics:cover:0, Graphite Block Cover
thermaldynamics:cover:0, Beryllium Block Cover
thermaldynamics:cover:0, Zirconium Block Cover
thermaldynamics:cover:0, Manganese Block Cover
thermaldynamics:cover:0, Aluminum Block Cover
thermaldynamics:cover:0, Silver Block Cover
thermaldynamics:cover:0, Fission Reactor Casing Cover
thermaldynamics:cover:0, Blast Block Cover
thermaldynamics:cover:0, Transparent Fission Reactor Casing Cover
thermaldynamics:cover:0, Reactor Cell Cover
thermaldynamics:cover:0, Empty Cooler Cover
thermaldynamics:cover:0, Water Cooler Cover
thermaldynamics:cover:0, Redstone Cooler Cover
thermaldynamics:cover:0, Quartz Cooler Cover
thermaldynamics:cover:0, Gold Cooler Cover
thermaldynamics:cover:0, Glowstone Cooler Cover
thermaldynamics:cover:0, Lapis Cooler Cover
thermaldynamics:cover:0, Diamond Cooler Cover
thermaldynamics:cover:0, Liquid Helium Cooler Cover
thermaldynamics:cover:0, Enderium Cooler Cover
thermaldynamics:cover:0, Cryotheum Cooler Cover
thermaldynamics:cover:0, Iron Cooler Cover
thermaldynamics:cover:0, Emerald Cooler Cover
thermaldynamics:cover:0, Copper Cooler Cover
thermaldynamics:cover:0, Tin Cooler Cover
thermaldynamics:cover:0, Magnesium Cooler Cover
thermaldynamics:cover:0, Reactor Trapdoor Cover
thermaldynamics:cover:0, Thorium-230 Block Cover
thermaldynamics:cover:0, Uranium-238 Block Cover
thermaldynamics:cover:0, Neptunium-237 Block Cover
thermaldynamics:cover:0, Plutonium-242 Block Cover
thermaldynamics:cover:0, Americium-243 Block Cover
thermaldynamics:cover:0, Curium-246 Block Cover
thermaldynamics:cover:0, Berkelium-247 Block Cover
thermaldynamics:cover:0, Californium-252 Block Cover
thermaldynamics:cover:0, Supercold Ice Cover
thermaldynamics:cover:0, Fusion Connector Cover
thermaldynamics:cover:0, Glowing Mushroom Cover
thermaldynamics:cover:0, Wasteland Earth Cover
thermaldynamics:cover:0, Tritium Lamp Cover
thermaldynamics:cover:0, Molten Osmium Cover
thermaldynamics:cover:0, Molten Starmetal Cover
thermaldynamics:cover:0, Molten Manasteel Cover
thermaldynamics:cover:0, Molten Elementium Cover
thermaldynamics:cover:0, Molten Terrasteel Cover
thermaldynamics:cover:0, Molten Thaumium Cover
thermaldynamics:cover:0, Molten Void Metal Cover
thermaldynamics:cover:0, Fluxed Electrum Block Cover
thermaldynamics:cover:0, Flux Crystal Block Cover
thermaldynamics:cover:0, Brass Candle Cover
thermaldynamics:cover:0, Brass Chain Cover
thermaldynamics:cover:0, Brass Chandelier Ring Cover
thermaldynamics:cover:0, Brass Lantern Cover
thermaldynamics:cover:0, Greatwood Chair Cover
thermaldynamics:cover:0, Silverwood Chair Cover
thermaldynamics:cover:0, Greatwood Table Cover
thermaldynamics:cover:0, Silverwood Table Cover
thermaldynamics:cover:0, Aer Crystal Sconce Cover
thermaldynamics:cover:0, Aer Crystal Brass Sconce Cover
thermaldynamics:cover:0, Terra Crystal Sconce Cover
thermaldynamics:cover:0, Terra Crystal Brass Sconce Cover
thermaldynamics:cover:0, Ignis Crystal Sconce Cover
thermaldynamics:cover:0, Ignis Crystal Brass Sconce Cover
thermaldynamics:cover:0, Aqua Crystal Sconce Cover
thermaldynamics:cover:0, Aqua Crystal Brass Sconce Cover
thermaldynamics:cover:0, Ordo Crystal Sconce Cover
thermaldynamics:cover:0, Ordo Crystal Brass Sconce Cover
thermaldynamics:cover:0, Perditio Crystal Sconce Cover
thermaldynamics:cover:0, Perditio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Vacuos Crystal Sconce Cover
thermaldynamics:cover:0, Vacuos Crystal Brass Sconce Cover
thermaldynamics:cover:0, Lux Crystal Sconce Cover
thermaldynamics:cover:0, Lux Crystal Brass Sconce Cover
thermaldynamics:cover:0, Motus Crystal Sconce Cover
thermaldynamics:cover:0, Motus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Gelum Crystal Sconce Cover
thermaldynamics:cover:0, Gelum Crystal Brass Sconce Cover
thermaldynamics:cover:0, Vitreus Crystal Sconce Cover
thermaldynamics:cover:0, Vitreus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Metallum Crystal Sconce Cover
thermaldynamics:cover:0, Metallum Crystal Brass Sconce Cover
thermaldynamics:cover:0, Victus Crystal Sconce Cover
thermaldynamics:cover:0, Victus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Mortuus Crystal Sconce Cover
thermaldynamics:cover:0, Mortuus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Potentia Crystal Sconce Cover
thermaldynamics:cover:0, Potentia Crystal Brass Sconce Cover
thermaldynamics:cover:0, Permutatio Crystal Sconce Cover
thermaldynamics:cover:0, Permutatio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Praecantatio Crystal Sconce Cover
thermaldynamics:cover:0, Praecantatio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Auram Crystal Sconce Cover
thermaldynamics:cover:0, Auram Crystal Brass Sconce Cover
thermaldynamics:cover:0, Alkimia Crystal Sconce Cover
thermaldynamics:cover:0, Alkimia Crystal Brass Sconce Cover
thermaldynamics:cover:0, Vitium Crystal Sconce Cover
thermaldynamics:cover:0, Vitium Crystal Brass Sconce Cover
thermaldynamics:cover:0, Tenebrae Crystal Sconce Cover
thermaldynamics:cover:0, Tenebrae Crystal Brass Sconce Cover
thermaldynamics:cover:0, Alienis Crystal Sconce Cover
thermaldynamics:cover:0, Alienis Crystal Brass Sconce Cover
thermaldynamics:cover:0, Volatus Crystal Sconce Cover
thermaldynamics:cover:0, Volatus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Herba Crystal Sconce Cover
thermaldynamics:cover:0, Herba Crystal Brass Sconce Cover
thermaldynamics:cover:0, Instrumentum Crystal Sconce Cover
thermaldynamics:cover:0, Instrumentum Crystal Brass Sconce Cover
thermaldynamics:cover:0, Fabrico Crystal Sconce Cover
thermaldynamics:cover:0, Fabrico Crystal Brass Sconce Cover
thermaldynamics:cover:0, Machina Crystal Sconce Cover
thermaldynamics:cover:0, Machina Crystal Brass Sconce Cover
thermaldynamics:cover:0, Vinculum Crystal Sconce Cover
thermaldynamics:cover:0, Vinculum Crystal Brass Sconce Cover
thermaldynamics:cover:0, Spiritus Crystal Sconce Cover
thermaldynamics:cover:0, Spiritus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Cognitio Crystal Sconce Cover
thermaldynamics:cover:0, Cognitio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Sensus Crystal Sconce Cover
thermaldynamics:cover:0, Sensus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Aversio Crystal Sconce Cover
thermaldynamics:cover:0, Aversio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Praemunio Crystal Sconce Cover
thermaldynamics:cover:0, Praemunio Crystal Brass Sconce Cover
thermaldynamics:cover:0, Desiderium Crystal Sconce Cover
thermaldynamics:cover:0, Desiderium Crystal Brass Sconce Cover
thermaldynamics:cover:0, Exanimis Crystal Sconce Cover
thermaldynamics:cover:0, Exanimis Crystal Brass Sconce Cover
thermaldynamics:cover:0, Bestia Crystal Sconce Cover
thermaldynamics:cover:0, Bestia Crystal Brass Sconce Cover
thermaldynamics:cover:0, Humanus Crystal Sconce Cover
thermaldynamics:cover:0, Humanus Crystal Brass Sconce Cover
thermaldynamics:cover:0, Sacred Oak Chair Cover
thermaldynamics:cover:0, Cherry Chair Cover
thermaldynamics:cover:0, Umbran Chair Cover
thermaldynamics:cover:0, Fir Chair Cover
thermaldynamics:cover:0, Ethereal Chair Cover
thermaldynamics:cover:0, Magic Chair Cover
thermaldynamics:cover:0, Mangrove Chair Cover
thermaldynamics:cover:0, Palm Chair Cover
thermaldynamics:cover:0, Redwood Chair Cover
thermaldynamics:cover:0, Willow Chair Cover
thermaldynamics:cover:0, Pine Chair Cover
thermaldynamics:cover:0, Hellbark Chair Cover
thermaldynamics:cover:0, Jacaranda Chair Cover
thermaldynamics:cover:0, Mahogany Chair Cover
thermaldynamics:cover:0, Ebony Chair Cover
thermaldynamics:cover:0, Eucalyptus Chair Cover
thermaldynamics:cover:0, Sacred Oak Table Cover
thermaldynamics:cover:0, Cherry Table Cover
thermaldynamics:cover:0, Umbran Table Cover
thermaldynamics:cover:0, Fir Table Cover
thermaldynamics:cover:0, Ethereal Table Cover
thermaldynamics:cover:0, Magic Table Cover
thermaldynamics:cover:0, Mangrove Table Cover
thermaldynamics:cover:0, Palm Table Cover
thermaldynamics:cover:0, Redwood Table Cover
thermaldynamics:cover:0, Willow Table Cover
thermaldynamics:cover:0, Pine Table Cover
thermaldynamics:cover:0, Hellbark Table Cover
thermaldynamics:cover:0, Jacaranda Table Cover
thermaldynamics:cover:0, Mahogany Table Cover
thermaldynamics:cover:0, Ebony Table Cover
thermaldynamics:cover:0, Eucalyptus Table Cover
thermaldynamics:cover:0, Salt Ore Cover
thermaldynamics:cover:0, Salt Lake Block Cover
thermaldynamics:cover:0, Block Of Salt Cover
thermaldynamics:cover:0, Chiseled Salt Block Cover
thermaldynamics:cover:0, Salt Pillar Cover
thermaldynamics:cover:0, Salt Bricks Cover
thermaldynamics:cover:0, Cracked Salt Block Cover
thermaldynamics:cover:0, Cracked Salt Bricks Cover
thermaldynamics:cover:0, Chiseled Salt Bricks Cover
thermaldynamics:cover:0, Salt Chapiter Cover
thermaldynamics:cover:0, Salt Bricks Stairs Cover
thermaldynamics:cover:0, Salt Slab Cover
thermaldynamics:cover:0, Salt Bricks Slab Cover
thermaldynamics:cover:0, Short Salt Pillar Cover
thermaldynamics:cover:0, Salt Lamp Cover
thermaldynamics:cover:0, Dirt Salt Lake Block Cover
thermaldynamics:cover:0, Saline Soil Cover
thermaldynamics:cover:0, Slightly Saline Soil Cover
thermaldynamics:cover:0, Grassy Semi-Saline Soil Cover
thermaldynamics:cover:0, Mineral Mud Block Cover
thermaldynamics:cover:0, Salt Crystals Cover
thermaldynamics:cover:0, Greenhouse Glass Cover
thermalinnovation:drill:0, Fluxbore (Basic)
thermalinnovation:drill:1, Fluxbore (Hardened)
thermalinnovation:drill:2, Fluxbore (Reinforced)
thermalinnovation:drill:3, Fluxbore (Signalum)
thermalinnovation:drill:4, Fluxbore (Resonant)
thermalinnovation:drill:32000, Fluxbore (Creative)
thermalinnovation:saw:0, Fluxsaw (Basic)
thermalinnovation:saw:1, Fluxsaw (Hardened)
thermalinnovation:saw:2, Fluxsaw (Reinforced)
thermalinnovation:saw:3, Fluxsaw (Signalum)
thermalinnovation:saw:4, Fluxsaw (Resonant)
thermalinnovation:saw:32000, Fluxsaw (Creative)
thermalinnovation:magnet:0, Fluxomagnet (Basic)
thermalinnovation:magnet:1, Fluxomagnet (Hardened)
thermalinnovation:magnet:2, Fluxomagnet (Reinforced)
thermalinnovation:magnet:3, Fluxomagnet (Signalum)
thermalinnovation:magnet:4, Fluxomagnet (Resonant)
thermalinnovation:magnet:32000, Fluxomagnet (Creative)
thermalinnovation:injector:0, Hypoinfuser (Basic)
thermalinnovation:injector:1, Hypoinfuser (Hardened)
thermalinnovation:injector:2, Hypoinfuser (Reinforced)
thermalinnovation:injector:3, Hypoinfuser (Signalum)
thermalinnovation:injector:4, Hypoinfuser (Resonant)
thermalinnovation:injector:32000, Hypoinfuser (Creative)
thermalinnovation:quiver:0, Alchemical Quiver (Basic)
thermalinnovation:quiver:1, Alchemical Quiver (Hardened)
thermalinnovation:quiver:2, Alchemical Quiver (Reinforced)
thermalinnovation:quiver:3, Alchemical Quiver (Signalum)
thermalinnovation:quiver:4, Alchemical Quiver (Resonant)
thermalinnovation:quiver:32000, Alchemical Quiver (Creative)
wrcbe:wireless_logic:0, Wireless Transmitter
wrcbe:wireless_logic:1, Wireless Receiver
wrcbe:wireless_logic:2, Wireless Jammer
wrcbe:material:0, Obsidian Stick
wrcbe:material:1, Stone Bowl
wrcbe:material:2, REther Pearl
wrcbe:material:3, Wireless Transceiver
wrcbe:material:4, Blaze Transceiver
wrcbe:material:5, Receiver Dish
wrcbe:material:6, Blaze Receiver Dish
wrcbe:triangulator, Wireless Triangulator
wrcbe:remote, Wireless Remote
wrcbe:sniffer, Wireless Sniffer
wrcbe:empty_map, Empty Wireless Map
wrcbe:map:0, Wireless Map #0
wrcbe:tracker, Wireless Tracker
wrcbe:rep, REP
wrcbe:p_sniffer, Private Sniffer
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
thaumcraft:vishroom, Vishroom
thaumcraft:plank_greatwood, Greatwood Planks
thaumcraft:plank_silverwood, Silverwood Planks
thaumcraft:stairs_greatwood, Greatwood Stairs
thaumcraft:stairs_silverwood, Silverwood Stairs
thaumcraft:slab_greatwood:0, Greatwood Slab
thaumcraft:slab_silverwood:0, Silverwood Slab
thaumcraft:amber_block, Amber Block
thaumcraft:amber_brick, Amber Bricks
thaumcraft:flesh_block, Block of Flesh
thaumcraft:loot_crate_common, Common Crate
thaumcraft:loot_crate_uncommon, Uncommon Crate
thaumcraft:loot_crate_rare, Rare Crate
thaumcraft:loot_urn_common, Common Urn
thaumcraft:loot_urn_uncommon, Uncommon Urn
thaumcraft:loot_urn_rare, Rare Urn
thaumcraft:taint_fibre, Fibrous Taint
thaumcraft:taint_crust, Crusted Taint
thaumcraft:taint_soil, Tainted Soil
thaumcraft:taint_rock, Tainted Rock
thaumcraft:taint_geyser, Taint Geyser
thaumcraft:taint_feature, Swollen Taint
thaumcraft:taint_log, Taintwood Log
thaumcraft:grass_ambient, Ambient Grass Block
thaumcraft:table_wood, Wood Table
thaumcraft:table_stone, Stone Table
thaumcraft:pedestal_arcane, Arcane Pedestal
thaumcraft:pedestal_ancient, Ancient Pedestal
thaumcraft:pedestal_eldritch, Eldritch Pedestal
thaumcraft:metal_brass, Brass Block
thaumcraft:metal_thaumium, Thaumium Block
thaumcraft:metal_void, Void Metal Block
thaumcraft:metal_alchemical, Alchemical Construct
thaumcraft:metal_alchemical_advanced, Advanced Alchemical Construct
thaumcraft:paving_stone_travel, Paving Stone of Travel
thaumcraft:paving_stone_barrier, Barrier Stone
thaumcraft:pillar_arcane, Infusion Pillar
thaumcraft:pillar_ancient, Ancient Infusion Pillar
thaumcraft:pillar_eldritch, Eldritch Infusion Pillar
thaumcraft:matrix_speed, Infusion Speed Stone
thaumcraft:matrix_cost, Infusion Cost Stone
thaumcraft:candle_white, White Tallow Candle
thaumcraft:candle_orange, Orange Tallow Candle
thaumcraft:candle_magenta, Magenta Tallow Candle
thaumcraft:candle_lightblue, Light Blue Tallow Candle
thaumcraft:candle_yellow, Yellow Tallow Candle
thaumcraft:candle_lime, Lime Tallow Candle
thaumcraft:candle_pink, Pink Tallow Candle
thaumcraft:candle_gray, Gray Tallow Candle
thaumcraft:candle_silver, Light Gray Tallow Candle
thaumcraft:candle_cyan, Cyan Tallow Candle
thaumcraft:candle_purple, Purple Tallow Candle
thaumcraft:candle_blue, Blue Tallow Candle
thaumcraft:candle_brown, Brown Tallow Candle
thaumcraft:candle_green, Green Tallow Candle
thaumcraft:candle_red, Red Tallow Candle
thaumcraft:candle_black, Black Tallow Candle
thaumcraft:banner_white, White Banner
thaumcraft:banner_orange, Orange Banner
thaumcraft:banner_magenta, Magenta Banner
thaumcraft:banner_lightblue, Light Blue Banner
thaumcraft:banner_yellow, Yellow Banner
thaumcraft:banner_lime, Lime Banner
thaumcraft:banner_pink, Pink Banner
thaumcraft:banner_gray, Gray Banner
thaumcraft:banner_silver, Light Gray Banner
thaumcraft:banner_cyan, Cyan Banner
thaumcraft:banner_purple, Purple Banner
thaumcraft:banner_blue, Blue Banner
thaumcraft:banner_brown, Brown Banner
thaumcraft:banner_green, Green Banner
thaumcraft:banner_red, Red Banner
thaumcraft:banner_black, Black Banner
thaumcraft:banner_crimson_cult, Crimson Cult Banner
thaumcraft:nitor_white, White Nitor
thaumcraft:nitor_orange, Orange Nitor
thaumcraft:nitor_magenta, Magenta Nitor
thaumcraft:nitor_lightblue, Light Blue Nitor
thaumcraft:nitor_yellow, Yellow Nitor
thaumcraft:nitor_lime, Lime Nitor
thaumcraft:nitor_pink, Pink Nitor
thaumcraft:nitor_gray, Gray Nitor
thaumcraft:nitor_silver, Light Gray Nitor
thaumcraft:nitor_cyan, Cyan Nitor
thaumcraft:nitor_purple, Purple Nitor
thaumcraft:nitor_blue, Blue Nitor
thaumcraft:nitor_brown, Brown Nitor
thaumcraft:nitor_green, Green Nitor
thaumcraft:nitor_red, Red Nitor
thaumcraft:nitor_black, Black Nitor
thaumcraft:vis_battery, Vis Battery
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Arcane Workbench
thaumcraft:arcane_workbench_charger, Workbench Charger
thaumcraft:dioptra, Thaumic Dioptra
thaumcraft:research_table, Research Table
thaumcraft:crucible, Crucible
thaumcraft:arcane_ear, Arcane Ear
thaumcraft:arcane_ear_toggle, Arcane Ear (Toggle)
thaumcraft:lamp_arcane, Arcane Lamp
thaumcraft:lamp_fertility, Lamp of Fertility
thaumcraft:lamp_growth, Lamp of Growth  
thaumcraft:levitator, Arcane Levitator
thaumcraft:centrifuge, Essentia Centrifuge
thaumcraft:bellows, Arcane Bellows
thaumcraft:smelter_basic, Essentia Smeltery
thaumcraft:smelter_thaumium, Thaumium Essentia Smeltery
thaumcraft:smelter_void, Void Metal Essentia Smeltery
thaumcraft:smelter_aux, Auxiliary Slurry Pump
thaumcraft:smelter_vent, Auxiliary Venting Port
thaumcraft:alembic, Arcane Alembic
thaumcraft:recharge_pedestal, Recharge Pedestal
thaumcraft:wand_workbench, Focal Manipulator
thaumcraft:hungry_chest, Hungry Chest
thaumcraft:tube, Essentia Tube
thaumcraft:tube_valve, Essentia Valve
thaumcraft:tube_restrict, Restricted Essentia Tube
thaumcraft:tube_oneway, Directional Essentia Tube
thaumcraft:tube_filter, Filtered Essentia Tube
thaumcraft:tube_buffer, Essentia Buffer
thaumcraft:jar_normal, Warded Jar
thaumcraft:jar_void, Void Jar
thaumcraft:jar_brain, Brain in a Jar
thaumcraft:infusion_matrix, Runic Matrix
thaumcraft:infernal_furnace, Infernal Furnace
thaumcraft:everfull_urn, Everfull Urn
thaumcraft:thaumatorium, Thaumatorium
thaumcraft:thaumatorium_top, Thaumatorium
thaumcraft:brain_box, Mnemonic Matrix
thaumcraft:spa, Arcane Spa
thaumcraft:golem_builder, Golem Press
thaumcraft:mirror, Magic Mirror
thaumcraft:mirror_essentia, Essentia Mirror
thaumcraft:essentia_input, Filling Essentia Transfuser
thaumcraft:essentia_output, Emptying Essentia Transfuser
thaumcraft:redstone_relay, Redstone Relay
thaumcraft:pattern_crafter, Arcane Pattern Crafter
thaumcraft:potion_sprayer, Potion Sprayer
thaumcraft:activator_rail, Arcane Activator Rail
thaumcraft:stabilizer, Stabilizer
thaumcraft:vis_generator, Vis Generator
thaumcraft:condenser, Flux Condenser
thaumcraft:condenser_lattice, Flux Condenser Lattice
thaumcraft:condenser_lattice_dirty, Clogged Flux Condenser Lattice
thaumcraft:void_siphon, Void Siphon
thaumcraft:hole, Dimensional Tear
thaumcraft:effect_shock, Static Field
thaumcraft:effect_sap, Sapping Field
thaumcraft:effect_glimmer, Glimmer
thaumcraft:placeholder_brick, Infernal Furnace
thaumcraft:placeholder_obsidian, Infernal Furnace
thaumcraft:placeholder_bars, Golem Press
thaumcraft:placeholder_anvil, Golem Press
thaumcraft:placeholder_cauldron, Golem Press
thaumcraft:placeholder_table, Golem Press
thaumcraft:empty, Empty Space
thaumcraft:barrier, Warding Aura
chisel:blockaluminum:0, Block of Aluminum
chisel:blockaluminum:1, Block of Aluminum
chisel:blockaluminum:2, Block of Aluminum
chisel:blockaluminum:3, Block of Aluminum
chisel:blockaluminum:4, Block of Aluminum
chisel:blockaluminum:5, Block of Aluminum
chisel:blockaluminum:6, Block of Aluminum
chisel:andesite:0, Andesite
chisel:andesite:1, Andesite
chisel:andesite:2, Andesite
chisel:andesite:3, Andesite
chisel:andesite:4, Andesite
chisel:andesite:5, Andesite
chisel:andesite:6, Andesite
chisel:andesite:7, Andesite
chisel:andesite:8, Andesite
chisel:andesite:9, Andesite
chisel:andesite:10, Andesite
chisel:andesite:11, Andesite
chisel:andesite:12, Andesite
chisel:andesite:13, Andesite
chisel:andesite:14, Andesite
chisel:andesite:15, Andesite
chisel:andesite1:0, Andesite
chisel:andesite1:1, Andesite
chisel:andesite1:2, Andesite
